algorithm,tasks,iteration,thread,tasks,time
Priority of vertices calculated in 0.454482 milliseconds.
Priority of vertices calculated in 0.5949099999999999 milliseconds.
Priority of vertices calculated in 0.11406999999999999 milliseconds.
Priority of vertices calculated in 0.11283 milliseconds.
Priority of vertices calculated in 1.3412979999999999 milliseconds.
Priority of vertices calculated in 0.111035 milliseconds.
Priority of vertices calculated in 0.10678599999999999 milliseconds.
Priority of vertices calculated in 0.107777 milliseconds.
Priority of vertices calculated in 0.103957 milliseconds.
Priority of vertices calculated in 0.691689 milliseconds.
Priority of vertices calculated in 0.27327599999999996 milliseconds.
Priority of vertices calculated in 0.07171799999999999 milliseconds.
Priority of vertices calculated in 0.052213999999999997 milliseconds.
Priority of vertices calculated in 0.05352 milliseconds.
Priority of vertices calculated in 0.050237 milliseconds.
Priority of vertices calculated in 1.560868 milliseconds.
Priority of vertices calculated in 0.053422 milliseconds.
Priority of vertices calculated in 0.043618 milliseconds.
Priority of vertices calculated in 0.08010099999999999 milliseconds.
Priority of vertices calculated in 0.079789 milliseconds.
Priority of vertices calculated in 0.080458 milliseconds.
Priority of vertices calculated in 0.074692 milliseconds.
Priority of vertices calculated in 0.074456 milliseconds.
Priority of vertices calculated in 0.14521299999999998 milliseconds.
Priority of vertices calculated in 0.08435999999999999 milliseconds.
Priority of vertices calculated in 0.075862 milliseconds.
Priority of vertices calculated in 0.075594 milliseconds.
PRIO,50,2,1,50,8766.140363999999
LIFO,50,3,1,50,9255.665803
FIFO,50,1,1,50,8949.095820999999
PRIO,50,1,2,0,8955.8207
LIFO,50,1,2,0,8956.274789
PRIO,50,3,2,0,8972.114491
FIFO,50,2,2,0,8978.625146
LIFO,50,2,2,0,8977.971585
FIFO,50,2,4,0,8912.000988
PRIO,50,2,4,0,8915.73409
FIFO,50,2,3,0,8914.952529
FIFO,50,2,2,0,8915.176308
LIFO,50,1,2,0,9550.084133999999
FIFO,50,1,2,0,9004.410061
PRIO,50,2,3,0,8918.452405
PRIO,50,2,2,0,8930.068546999999
LIFO,50,3,2,0,9461.275262
PRIO,50,1,1,50,10485.280778999999
PRIO,50,3,1,50,8709.668488
LIFO,50,3,1,50,8726.672332
LIFO,50,2,1,50,8783.509812999999
Priority of vertices calculated in 44.31715 milliseconds.
Priority of vertices calculated in 1.2931139999999999 milliseconds.
Priority of vertices calculated in 1.270637 milliseconds.
LIFO,50,1,1,50,10617.0279
FIFO,50,1,1,50,10629.69536
LIFO,50,3,1,50,9244.859632
FIFO,50,3,1,50,9252.901734
PRIO,50,3,2,0,9255.012395
PRIO,50,1,1,50,9248.261507
PRIO,50,3,1,50,9256.311012
FIFO,50,1,1,50,9243.827884
PRIO,50,1,2,0,9251.325112
LIFO,50,3,2,0,9256.121607
FIFO,50,3,2,0,9260.352484
PRIO,50,3,3,0,9262.179289
FIFO,50,1,4,0,9249.636075999999
FIFO,50,1,2,0,9250.281122999999
LIFO,50,2,1,50,9270.224858
LIFO,50,3,3,0,9257.924841
FIFO,50,1,3,0,9250.639983
LIFO,50,2,3,0,8940.620370999999
LIFO,50,2,4,0,8940.916546
PRIO,50,3,4,0,8951.617777
LIFO,50,3,3,0,8956.190975
FIFO,50,3,3,0,9346.570432
LIFO,50,2,2,0,8967.177178
PRIO,50,1,3,0,9342.281933999999
LIFO,50,2,2,0,9575.2101
LIFO,50,3,1,50,10501.690964
PRIO,50,1,3,0,10769.23196
LIFO,50,2,2,0,10791.450667
LIFO,50,2,3,0,10786.632179999999
PRIO,50,1,4,0,10763.122546999999
PRIO,50,1,2,0,10763.661901
FIFO,50,3,2,0,9895.609143
PRIO,50,3,1,50,10498.207972
FIFO,50,3,1,50,10508.297132
FIFO,50,3,1,50,9757.597316
FIFO,50,1,1,50,10732.042362999999
PRIO,50,1,1,50,10609.912674
PRIO,50,3,2,0,10696.171855999999
PRIO,50,3,1,50,10621.452915
PRIO,50,1,1,50,10725.85649
LIFO,50,2,1,50,10507.265398
FIFO,50,1,3,0,10929.344964
LIFO,50,2,3,0,9574.212967
PRIO,50,1,4,0,9553.036137
PRIO,50,1,1,50,9771.407141
LIFO,50,2,1,50,10503.033476999999
PRIO,50,3,3,0,8965.224366999999
PRIO,50,3,2,0,8965.246404
LIFO,50,3,2,0,8958.754582
LIFO,50,3,4,0,8958.000667999999
Priority of vertices calculated in 1.72349 milliseconds.
FIFO,50,1,2,0,10965.570942999999
Priority of vertices calculated in 1.3732449999999998 milliseconds.
Priority of vertices calculated in 2.7458199999999997 milliseconds.
PRIO,50,3,1,50,10920.325223
